timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723892732342,144,Get Single User-1,200,OK,Load Configuration 1-39,text,true,,1190,122,7,7,https://reqres.in/api/users/2,144,0,101
1723892732098,450,POST method Create User,200,OK,Load Configuration 1-35,text,true,,870,243,7,7,https://reqres.in/api/login,450,0,0
1723892732158,429,POST method Create User,200,OK,Load Configuration 1-36,text,true,,870,243,7,7,https://reqres.in/api/login,429,0,0
1723892732380,220,Get Single User,200,OK,Load Configuration 1-40,text,true,,1985,244,6,6,https://reqres.in/api/users/2,86,0,42
1723892732380,86,Get Single User-0,301,Moved Permanently,Load Configuration 1-40,text,true,,795,122,6,6,http://reqres.in/api/users/2,86,0,42
1723892732467,133,Get Single User-1,200,OK,Load Configuration 1-40,text,true,,1190,122,6,6,https://reqres.in/api/users/2,133,0,65
1723892732480,200,Get Single User,200,OK,Load Configuration 1-41,text,true,,1985,244,6,6,https://reqres.in/api/users/2,82,0,42
1723892732480,82,Get Single User-0,301,Moved Permanently,Load Configuration 1-41,text,true,,795,122,6,6,http://reqres.in/api/users/2,82,0,42
1723892732562,118,Get Single User-1,200,OK,Load Configuration 1-41,text,true,,1190,122,6,6,https://reqres.in/api/users/2,118,0,60
1723892732251,451,POST method Create User,200,OK,Load Configuration 1-37,text,true,,870,243,7,7,https://reqres.in/api/login,451,0,0
1723892732581,194,Get Single User,200,OK,Load Configuration 1-42,text,true,,1975,244,6,6,https://reqres.in/api/users/2,74,0,28
1723892732581,74,Get Single User-0,301,Moved Permanently,Load Configuration 1-42,text,true,,785,122,6,6,http://reqres.in/api/users/2,74,0,28
1723892732656,119,Get Single User-1,200,OK,Load Configuration 1-42,text,true,,1190,122,6,6,https://reqres.in/api/users/2,119,0,79
1723892732353,430,POST method Create User,200,OK,Load Configuration 1-38,text,true,,870,243,7,7,https://reqres.in/api/login,430,0,0
1723892732681,355,Get Single User,200,OK,Load Configuration 1-43,text,true,,1979,244,8,8,https://reqres.in/api/users/2,64,0,24
1723892732681,64,Get Single User-0,301,Moved Permanently,Load Configuration 1-43,text,true,,789,122,8,8,http://reqres.in/api/users/2,64,0,24
1723892732746,290,Get Single User-1,200,OK,Load Configuration 1-43,text,true,,1190,122,8,8,https://reqres.in/api/users/2,290,0,72
1723892732600,436,POST method Create User,200,OK,Load Configuration 1-40,text,true,,870,243,8,8,https://reqres.in/api/login,436,0,0
1723892732486,550,POST method Create User,200,OK,Load Configuration 1-39,text,true,,870,243,8,8,https://reqres.in/api/login,550,0,0
1723892732680,401,POST method Create User,200,OK,Load Configuration 1-41,text,true,,870,243,7,7,https://reqres.in/api/login,401,0,0
1723892732780,372,Get Single User,200,OK,Load Configuration 1-44,text,true,,1983,244,6,6,https://reqres.in/api/users/2,253,0,34
1723892732780,253,Get Single User-0,301,Moved Permanently,Load Configuration 1-44,text,true,,793,122,6,6,http://reqres.in/api/users/2,253,0,34
1723892733034,118,Get Single User-1,200,OK,Load Configuration 1-44,text,true,,1190,122,6,6,https://reqres.in/api/users/2,118,0,68
1723892732880,334,Get Single User,200,OK,Load Configuration 1-45,text,true,,1975,244,7,7,https://reqres.in/api/users/2,197,0,155
1723892732880,197,Get Single User-0,301,Moved Permanently,Load Configuration 1-45,text,true,,785,122,7,7,http://reqres.in/api/users/2,197,0,155
1723892733078,136,Get Single User-1,200,OK,Load Configuration 1-45,text,true,,1190,122,7,7,https://reqres.in/api/users/2,136,0,80
1723892732981,254,Get Single User,200,OK,Load Configuration 1-46,text,true,,1983,244,7,7,https://reqres.in/api/users/2,96,0,55
1723892732981,96,Get Single User-0,301,Moved Permanently,Load Configuration 1-46,text,true,,793,122,7,7,http://reqres.in/api/users/2,96,0,55
1723892733078,157,Get Single User-1,200,OK,Load Configuration 1-46,text,true,,1190,122,7,7,https://reqres.in/api/users/2,157,0,81
